employer,notice_date,number_of_employees_affected,warn_type,city,zip,lwib_area,address,record_number,detail_page_url
"General Motors, LLC","Jun 16, 2017",,WARN,,,3 - Workforce Partnership,,1867,https://www.kansasworks.com/search/warn_lookups/1867
Sears Holding,"Jun 22, 2017",,WARN,,,3 - Workforce Partnership,,1869,https://www.kansasworks.com/search/warn_lookups/1869
Sears Holding,"Jun 22, 2017",,WARN,,,3 - Workforce Partnership,,1870,https://www.kansasworks.com/search/warn_lookups/1870
Cornerstones of Care,"Aug 17, 2017",,WARN,,,3 - Workforce Partnership,,1872,https://www.kansasworks.com/search/warn_lookups/1872
Central Credit Services LLC,"Sep 01, 2017",,WARN,Overland Park,66211,3 - Workforce Partnership,,1873,https://www.kansasworks.com/search/warn_lookups/1873
Siemens,"Sep 01, 2017",137,WARN,,,1 - Kansas WorkforceONE,,1876,https://www.kansasworks.com/search/warn_lookups/1876
People's Inc.,"Sep 18, 2017",31,WARN,,,3 - Workforce Partnership,,1877,https://www.kansasworks.com/search/warn_lookups/1877
SKF USA Inc.,"Oct 24, 2017",170,WARN,,,2 - Workforce Investment Area II,,1880,https://www.kansasworks.com/search/warn_lookups/1880
Payless Shoesource,"Nov 16, 2017",,WARN,,,2 - Workforce Investment Area II,,1885,https://www.kansasworks.com/search/warn_lookups/1885
"Digital Ally, Inc.","Nov 17, 2017",,WARN,,,3 - Workforce Partnership,,1886,https://www.kansasworks.com/search/warn_lookups/1886
CHS Inc.,"Dec 01, 2017",,WARN,,,1 - Kansas WorkforceONE,,1887,https://www.kansasworks.com/search/warn_lookups/1887
AT&T,"Oct 02, 2017",,WARN,,,4 - Workforce Alliance,,1888,https://www.kansasworks.com/search/warn_lookups/1888
Boeing,"Jan 18, 2013",100,WARN,,,4 - Workforce Alliance,,1566,https://www.kansasworks.com/search/warn_lookups/1566
Hawker Beechcraft,"Jan 28, 2013",8,WARN,,,4 - Workforce Alliance,,1567,https://www.kansasworks.com/search/warn_lookups/1567
Boeing,"Feb 01, 2013",,WARN,,,4 - Workforce Alliance,,1568,https://www.kansasworks.com/search/warn_lookups/1568
Boeing,"Feb 15, 2013",,WARN,,,4 - Workforce Alliance,,1571,https://www.kansasworks.com/search/warn_lookups/1571
Boeing,"Mar 22, 2013",,WARN,,,4 - Workforce Alliance,,1573,https://www.kansasworks.com/search/warn_lookups/1573
Beechcraft Corp,"Mar 22, 2013",,WARN,,,4 - Workforce Alliance,,1574,https://www.kansasworks.com/search/warn_lookups/1574
Boeing,"Apr 19, 2013",,WARN,,,4 - Workforce Alliance,,1576,https://www.kansasworks.com/search/warn_lookups/1576
Alco,"Apr 09, 2013",,WARN,,,1 - Kansas WorkforceONE,,1578,https://www.kansasworks.com/search/warn_lookups/1578
Boeing,"May 17, 2013",61,WARN,,,4 - Workforce Alliance,,1582,https://www.kansasworks.com/search/warn_lookups/1582
"ARAMARK Healthcare Support Services, LLC","May 28, 2013",256,WARN,,,4 - Workforce Alliance,,1583,https://www.kansasworks.com/search/warn_lookups/1583
Boeing,"Jun 21, 2013",40,WARN,,,4 - Workforce Alliance,,1590,https://www.kansasworks.com/search/warn_lookups/1590
Beechcraft Corp,"Jul 12, 2013",,WARN,,,4 - Workforce Alliance,,1593,https://www.kansasworks.com/search/warn_lookups/1593
Boeing,"Jul 19, 2013",,WARN,,,4 - Workforce Alliance,,1595,https://www.kansasworks.com/search/warn_lookups/1595
Boeing,"Aug 23, 2013",,WARN,,,4 - Workforce Alliance,,1599,https://www.kansasworks.com/search/warn_lookups/1599
KU Medical Center,"Jul 09, 2013",,WARN,,,3 - Workforce Partnership,,1606,https://www.kansasworks.com/search/warn_lookups/1606
Graham Packaging Plastic Products Inc.,"Aug 26, 2013",,WARN,,,3 - Workforce Partnership,,1608,https://www.kansasworks.com/search/warn_lookups/1608
"AMG Service, Inc.","Sep 05, 2013",,WARN,,,3 - Workforce Partnership,,1609,https://www.kansasworks.com/search/warn_lookups/1609
Spirit Aerosystems,"Sep 12, 2013",150,WARN,,,4 - Workforce Alliance,,1610,https://www.kansasworks.com/search/warn_lookups/1610
Adjutant General,"Aug 23, 2013",32,WARN,,,1 - Kansas WorkforceONE,,1611,https://www.kansasworks.com/search/warn_lookups/1611
Boeing,"Sep 20, 2013",58,WARN,,,4 - Workforce Alliance,,1612,https://www.kansasworks.com/search/warn_lookups/1612
Sprint,"Sep 23, 2013",,WARN,,,3 - Workforce Partnership,,1613,https://www.kansasworks.com/search/warn_lookups/1613
